question,context
Apa saja tanggal penting dalam Pertukaran Mahasiswa Merdeka Tahun 2021?,Tanggal penting meliputi: 1. 12 Juni 2021: Menuju Festival Kampus Merdeka - Pertukaran Mahasiswa Merdeka. 2. 15 Juni 2021: Festival Kampus Merdeka. 3. 14-27 Juni 2021: Pendaftaran mahasiswa. 4. Akhir Juni/awal Juli 2021: Pengisian Survei Kebinekaan. 5. Minggu I-II Juli 2021: Seleksi dan penetapan peserta. 6. Minggu III Juli-II Agustus 2021: Perguruan tinggi mempersiapkan keberangkatan dan penerimaan mahasiswa. 7. Agustus 2021-Januari 2022: Pelaksanaan program. 8. Februari-Maret 2022: Pelaksanaan kegiatan tindak lanjut oleh mahasiswa (opsional).
Apa saja persyaratan pendaftaran mahasiswa untuk Pertukaran Mahasiswa Merdeka?,"1. Mahasiswa aktif semester 3 - 7 di perguruan tinggi non vokasi di bawah Direktorat Jenderal Pendidikan Tinggi, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi RI. 2. Memiliki IPK 2,75 dari skala 4. Mahasiswa dengan IPK di bawah 2,75 dapat melampirkan sertifikat prestasi resmi minimal tingkat provinsi. 3. Tidak pernah dikenakan sanksi akademik dan non akademik. 4. Bukan peserta program PERMATA atau PERMATA SAKTI. 5. Memiliki satu kali kesempatan untuk mengikuti dan memperoleh bantuan biaya program Pertukaran Mahasiswa Merdeka. 6. Bersedia mentaati seluruh ketentuan dalam POB program."
Apa yang harus mahasiswa persiapkan sebelum mendaftar Pertukaran Mahasiswa Merdeka?,"1. Memastikan data diri sesuai dengan data di PDDIKTI (https://pddikti.kemdikbud.go.id).  2. Surat rekomendasi dari Perguruan Tinggi. 3. Surat keterangan sehat dari puskesmas/rumah sakit. 4. Sertifikat prestasi minimal tingkat provinsi bagi mahasiswa dengan IPK di bawah 2,75. 5. Surat persetujuan orang tua/wali. 6. Surat pakta integritas."
Bagaimana cara memastikan data diri untuk mendaftar Pertukaran Mahasiswa Merdeka?,"Mahasiswa memastikan data diri (nama, tempat tanggal lahir, NIM dan NIK) sesuai dengan data di PDDIKTI (https://pddikti.kemdikbud.go.id)."
Apa itu Surat Rekomendasi Perguruan Tinggi untuk pendaftaran Pertukaran Mahasiswa Merdeka?,Surat Rekomendasi Perguruan Tinggi adalah surat yang diterbitkan oleh pihak perguruan tinggi yang memberikan rekomendasi kepada mahasiswa untuk mengikuti Pertukaran Mahasiswa Merdeka.
Apa itu Surat Keterangan Sehat untuk pendaftaran Pertukaran Mahasiswa Merdeka?,Surat keterangan sehat yang diterbitkan oleh puskesmas atau rumah sakit yang menyatakan bahwa mahasiswa dalam kondisi sehat untuk mengikuti Pertukaran Mahasiswa Merdeka.
Apa itu Sertifikat Prestasi untuk pendaftaran Pertukaran Mahasiswa Merdeka?,"Sertifikat prestasi resmi minimal tingkat provinsi yang dilampirkan khusus untuk mahasiswa yang memiliki IPK di bawah 2,75."
Apa itu Surat Pakta Integritas untuk pendaftaran Pertukaran Mahasiswa Merdeka?,"Surat Pakta Integritas adalah surat pernyataan dimana mahasiswa menyatakan kesanggupan mengikuti program dengan ketentuan: bersedia ditempatkan di perguruan tinggi dan daerah yang ditentukan panitia, mentaati ketentuan program, menaati aturan hukum, berkomitmen menyelesaikan program, dan siap menerima sanksi jika melanggar peraturan seperti plagiarisme atau tindakan kriminal."
Apa itu Surat Persetujuan Orang Tua untuk pendaftaran Pertukaran Mahasiswa Merdeka?,Surat Persetujuan Orang Tua adalah surat yang ditandatangani oleh orang tua/wali mahasiswa yang menyatakan persetujuan dan izin bagi anaknya untuk mengikuti Program Pertukaran Mahasiswa Merdeka tahun 2021 serta bersedia ditempatkan di perguruan tinggi penerima sesuai dengan kriteria dan persyaratan yang berlaku.
Bagaimana cara membuat akun untuk pendaftaran Program Pertukaran Mahasiswa Merdeka?,"1. Akses website MBKM (kampusmerdeka.kemdikbud.go.id), klik tombol 'MASUK'. 2. Daftarkan akun MBKM dengan klik tombol 'Daftar'. 3. Pilih peran sebagai 'Mahasiswa'. 4. Isi alamat email, kata sandi, dan klik 'Selanjutnya'."
Bagaimana cara mengisi data diri untuk pendaftaran Program Pertukaran Mahasiswa Merdeka?,"1. Lengkapi data diri mahasiswa: perguruan tinggi asal, program studi, NIM, NIK, tanggal lahir. 2. Centang persetujuan ketentuan penggunaan dan kebijakan privasi, klik 'Selanjutnya'. 3. Cek data diri, klik 'Selanjutnya'."
Bagaimana cara aktivasi akun untuk pendaftaran Program Pertukaran Mahasiswa Merdeka?,Aktivasi akun melalui email dengan klik link 'Aktifkan Akun'.
Bagaimana cara masuk ke sistem setelah aktivasi akun Program Pertukaran Mahasiswa Merdeka?,1. Masukkan email dan password untuk masuk ke sistem. 2. Klik button 'Program' dan pilih 'Pertukaran Mahasiswa Merdeka'.
Bagaimana cara mengisi pilihan lokasi perguruan tinggi penerima dalam pendaftaran Program Pertukaran Mahasiswa Merdeka?,"Isi 3 pilihan lokasi pulau perguruan tinggi penerima yaitu Pilihan Lokasi Pulau 1, Pilihan Lokasi Pulau 2, dan Pilihan Lokasi Pulau 3."
Bagaimana cara memilih mata kuliah dalam jaringan (daring) pada pendaftaran Program Pertukaran Mahasiswa Merdeka?,Lengkapi pilihan mata kuliah dalam jaringan (maksimum 10 SKS) yang ingin diikuti oleh pendaftar. Mahasiswa disarankan untuk mengambil 20 SKS secara luar jaringan (luring) di perguruan tinggi penerima.
Bagaimana cara unggah dokumen persyaratan untuk pendaftaran Program Pertukaran Mahasiswa Merdeka?,Unggah dokumen persyaratan dengan format png/pdf maksimal 5 MB di antaranya: 1. Surat Keterangan Sehat dari Puskesmas/RS. 2. Surat rekomendasi PT asal. 3. Surat persetujuan orang tua/wali. 4. Surat Pakta Integritas. 5. Sertifikat prestasi mahasiswa (opsional).
Apa saja dokumen persyaratan yang harus diunggah untuk pendaftaran Program Pertukaran Mahasiswa Merdeka?,Dokumen persyaratan yang harus diunggah meliputi: 1. Surat Keterangan Sehat dari Puskesmas/RS. 2. Surat rekomendasi PT asal. 3. Surat persetujuan orang tua/wali. 4. Surat Pakta Integritas. 5. Sertifikat prestasi mahasiswa (opsional).
Apa yang harus dilakukan setelah mengisi dan mengunggah semua dokumen untuk pendaftaran Program Pertukaran Mahasiswa Merdeka?,"Centang pernyataan komitmen sebagai berikut: 1. Informasi yang saya sampaikan adalah benar. 2. Jika UKT saya lebih rendah dari Rp 2.400.000, bantuan UKT dibayarkan sesuai biaya. 3. Jika tidak menyelesaikan program, tidak menerima bantuan potongan UKT. 4. Menyetujuai semua ketentuan yang berlaku pada pendaftaran program. Setelah itu klik button 'Simpan Berkas' dan 'Kirim'."
Apa yang dilakukan setelah pendaftaran berhasil dikirim dalam Program Pertukaran Mahasiswa Merdeka?,Tampilan halaman menunjukkan pendaftaran berhasil. Klik button 'Back To Home'.
Bagaimana cara mengetahui status pendaftaran dalam Program Pertukaran Mahasiswa Merdeka?,Klik button 'Kegiatanku' di homepage Kampus Merdeka untuk mengetahui status program yang telah didaftarkan.
Apa isi dari Surat Pakta Integritas untuk Program Pertukaran Mahasiswa Merdeka?,"Surat Pakta Integritas menyatakan kesanggupan mengikuti program Pertukaran Mahasiswa Merdeka dengan ketentuan: bersedia ditempatkan di perguruan tinggi yang ditentukan, mentaati ketentuan program, mentaati aturan hukum, menyelesaikan program, dan siap menerima sanksi jika melanggar peraturan seperti plagiarisme atau tindakan kriminal."
Apa isi dari Surat Rekomendasi Perguruan Tinggi untuk mahasiswa dalam Program Pertukaran Mahasiswa Merdeka?,"Surat Rekomendasi menyatakan bahwa mahasiswa aktif memenuhi kriteria dan syarat dalam Pedoman Operasional Baku (POB) Pertukaran Mahasiswa Merdeka tahun 2021 yang ditetapkan oleh Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi."
Apa isi dari Surat Persetujuan Orang Tua untuk Program Pertukaran Mahasiswa Merdeka?,Surat Persetujuan Orang Tua menyatakan bahwa orang tua/wali mahasiswa memberikan persetujuan dan izin bagi anaknya untuk mengikuti Program Pertukaran Mahasiswa Merdeka tahun 2021 serta bersedia ditempatkan di perguruan tinggi penerima sesuai dengan kriteria dan persyaratan yang berlaku.
Kenapa mahasiswa perlu memastikan data diri sesuai dengan data di PDDIKTI sebelum mendaftar Pertukaran Mahasiswa Merdeka?,"Mahasiswa memastikan data diri (nama, tempat tanggal lahir, NIM dan NIK) sesuai dengan data di PDDIKTI (https://pddikti.kemdikbud.go.id) untuk memastikan keakuratan informasi yang diperlukan dalam proses pendaftaran."
Berapa jumlah SKS alih kredit yang didapatkan dari Pertukaran Mahasiswa Merdeka?,Jumlah SKS alih kredit sebanyak 20 SKS.
Apakah mata kuliah dalam jaringan boleh diambil bersamaan dengan mata kuliah di perguruan tinggi penerima?,"Ya, mahasiswa dapat mengkombinasikan mata kuliah yang ditawarkan perguruan tinggi penerima dengan mata kuliah dari perguruan tinggi lain secara daring, dengan ketentuan minimal 8 SKS dari perguruan tinggi penerima dan 2 SKS Modul Nusantara."
Apa itu Modul Nusantara dalam Pertukaran Mahasiswa Merdeka?,Modul Nusantara adalah bagian dari program Pertukaran Mahasiswa Merdeka yang memberikan pengalaman langsung berinteraksi dengan mahasiswa dari daerah lain dan mempelajari kebudayaan daerah lain. Modul ini bernilai 2 SKS dan wajib diambil oleh mahasiswa peserta.
Mengapa Pertukaran Mahasiswa Merdeka menawarkan pengalaman kebinekaan?,"Pertukaran Mahasiswa Merdeka menawarkan pengalaman kebinekaan karena mahasiswa akan ditempatkan di perguruan tinggi dari klaster daerah yang berbeda, memungkinkan mereka untuk belajar dan berinteraksi dengan budaya, bahasa, dan kebiasaan yang berbeda dari daerah asal mereka."
Bagaimana cara untuk memastikan kebenaran data pada pendaftaran Pertukaran Mahasiswa Merdeka?,"Setelah melengkapi data diri di formulir pendaftaran, mahasiswa harus memeriksa kembali data yang telah diisi, dan jika data sudah benar, klik button 'Selanjutnya', atau jika terdapat kesalahan data, klik button 'Terdapat Kesalahan Data'."
