question,context
Apa saja hal yang harus ada dalam revisi setelah sidang?,"1. Mahasiswa mengerjakan revisi (jika ada)
2. Mahasiswa mengumpulkan persetujuan revisi dari penguji (menggunakan tanda tangan digital atau email)
3. Mahasiswa memenuhi persyaratan-persyaratan yudisium."
Kapan nilai Pra-TA atau TA keluar?,"Nilai KP, nilai Pra TA dan TA akan dientry ke integra secara batch operation dalam waktu yang kurang lebih sama. Waktu menyesuaikan dengan kalender akademik, tidak melebihi batas yudisium. Bertanya ke sekdep 1 tentang nilainya HANYA jika diperlukan untuk keperluan mendesak saja."
Siapa yang bertanggung jawab atas penyusunan tesis?,"Mahasiswa bertanggung jawab atas semua aspek yang berkaitan dengan penyiapan tesis dan publikasi dari penelitian atau studinya (tesisnya), termasuk isi dan materi, organisasi dan format, pekerjaan editorial, bahasa, bibliografi, pengetikan dan penyajian berbagai gambar, serta penjagaan terhadap kualitas dan kesahihan data, logika, dan rasionalitas."
Apa tanggung jawab dosen pembimbing dalam penyusunan tesis?,"Dosen pembimbing (komite dosen pembimbing) bertanggung jawab untuk memeriksa, mengoreksi, dan mengarahkan materi (substansi) dan metodologi yang dipergunakan dalam penelitian atau studi untuk penulisan tesis, memeriksa dan mengoreksi organisasi, isi, dan format tesis, serta melakukan evaluasi menyeluruh atas penyelesaian tesis."
Apa saja unsur utama dalam tesis?,"Unsur dalam tesis terdiri dari: Judul penelitian, lembar pengesahan, abstrak, daftar isi, daftar gambar (jika ada), daftar tabel (jika ada), daftar notasi/simbol (bila diperlukan), bagian tubuh (bab-bab) yang terdiri dari pendahuluan, kajian pustaka dan dasar teori, metoda penelitian, hasil penelitian dan pembahasan, kesimpulan, daftar pustaka, lampiran (jika ada), dan biografi penulis."
Bagaimana penulisan abstrak tesis?,"Abstrak tesis pada dasarnya sama dengan format abstrak proposal tesis, tetapi pada abstrak tesis harus ditambahkan hasil dan kesimpulan dari penelitian yang telah dilakukan. Abstrak ditulis dalam Bahasa Indonesia dan Inggris."
Bagaimana aturan daftar pustaka dalam tesis?,"Daftar pustaka merupakan daftar referensi dari semua jenis referensi seperti buku, jurnal papers, artikel, disertasi, tesis, handouts, laboratory manuals, dan karya ilmiah lainnya yang dikutip di dalam penulisan proposal tesis. Semua referensi yang tertulis dalam daftar pustaka harus dirujuk di dalam tesis."
Bagaimana format penulisan artikel/paper dari jurnal dalam daftar pustaka?,"Nama akhir/keluarga penulis pertama, nama kecil/depan, nama akhir/keluarga penulis kedua, nama kecil/depan, dan nama penulis selanjutnya. Nama kecil/depan bisa ditulis lengkap atau hanya inisialnya saja. Tahun penerbitan/publikasi ditulis dalam kurung. Judul artikel/paper dicetak huruf tegak dengan title case diantara tanda kutip. Judul jurnal dicetak miring/italic. Nomor volume dari jurnal. Nomor jurnal. Nomor halaman dari artikel tersebut di dalam jurnal."
Apa aturan penulisan buku dalam daftar pustaka?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul buku dicetak miring/italic dengan title case. Nomor volume dari buku (jika ada). Edisi penerbitan. Nama penerbit. Kota tempat diterbitkan.
Bagaimana aturan menulis artikel dalam buku prosiding pada daftar pustaka?,"Nama pengarang, tahun publikasi, dan judul artikel/paper sama dengan penulisan artikel dari jurnal. Judul buku dicetak miring/italic. Nomor volume dari buku (jika ada). Edisi penerbitan. Nama editor didahului dengan ed. atau eds. bila lebih dari satu editor. Nama penyelenggara seminar/conference. Kota tempat penyelenggaraan. Nomor halaman dari artikel/paper tersebut di dalam prosiding."
Bagaimana format penulisan referensi proyek mahasiswa?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul proyek dicetak miring/italic. Jenis proyek. Nama perguruan tinggi. Kota tempat penyelenggaraan.
Bagaimana referensi tesis dan disertasi ditulis dalam daftar pustaka?,"Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul tesis/disertasi dicetak miring/italic. Tesis/disertasi Ph.D/Master/Magister, tidak dicetak miring (dicetak huruf tegak). Nama perguruan tinggi. Kota tempat perguruan tinggi tersebut."
Bagaimana menulis standar teknis di daftar pustaka?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul standar teknis dicetak miring/italic. Nama penerbit. Kota tempat diterbitkan.
Bagaimana cara menulis dokumen pemerintah dalam daftar pustaka?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul dokumen dicetak miring/italic. Volume atau nomor (jika ada). Nama penerbit. Kota tempat diterbitkan.
Bagaimana menulis bahan kuliah atau handouts di daftar pustaka?,"Nama pengarang, tahun publikasi sama dengan penulisan artikel dari jurnal. Judul topik handouts dicetak miring. Lecture handout/bahan kuliah dan nama mata kuliah dicetak huruf tegak. Nama perguruan tinggi. Kota tempat perguruan tinggi tersebut."
Bagaimana menulis petunjuk praktikum dalam daftar pustaka?,"Nama pengarang, tahun publikasi sama dengan penulisan artikel dari jurnal. Nama dari kegiatan laboratorium/praktikum dicetak miring. Laboratory manual/petunjuk praktikum dicetak huruf tegak. Nama perguruan tinggi. Kota tempat perguruan tinggi tersebut."
