question,context
Bagaimana cara Penanggung Jawab Fakultas/Prodi menerima email notifikasi penugasan verifikasi data akademik mahasiswa?,Penanggung Jawab Fakultas/Prodi akan menerima email notifikasi penugasan verifikasi data akademik mahasiswa untuk prodi tersebut untuk program Kampus Merdeka. Klik 'Verifikasi Sekarang'. Contoh email notifikasi penugasan jika belum ada mahasiswa yang terdaftar Mohon cek folder Spam jika email tidak muncul di folder Kotak Masuk.
Apa itu Subdirektorat Pengembangan Kewirausahaan dan Karir (PK2) di ITS?,Subdirektorat Pengembangan Kewirausahaan dan Karir (PK2) di ITS bertugas mengelola Program Magang di lingkungan ITS. PK2 berada di bawah koordinasi Direktorat Kemahasiswaan ITS.
Apa tujuan dari Program Magang yang diselenggarakan oleh ITS?,"Program Magang adalah suatu kegiatan dari mahasiswa untuk menerapkan dan memperoleh pengetahuan, keterampilan umum dan khusus/keahlian kerja, serta internalisasi sikap profesional dan budaya kerja yang sesuai dan diperlukan bagi dunia usaha."
Apa saja jenis Program Magang di Kampus Merdeka ITS?,"Jenis Program Magang Kampus Merdeka di ITS meliputi MBKM (Program dari Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi dalam bentuk pembelajaran di luar Kampus selama 2 semester, dan bisa/wajib dikonversikan ke SKS Mata Kuliah) dan Non-MBKM (Program Magang yang dikonversikan ke SKEM atau hanya untuk menambah pengalaman mahasiswa)."
Apa yang termasuk dalam Program Magang Flagship di Kampus Merdeka?,"Program Magang Flagship (Kampus Merdeka) meliputi MSIB (Magang dan Studi Independen Bersertifikat), Bangkit (by Google, GoTo, and Traveloka), dan Gerilya (by Kementerian ESDM)."
Apa syarat untuk mengikuti Program Magang MBKM?,"1. Mahasiswa aktif ITS tingkat Sarjana dan Diploma
2. Minimal mahasiswa sudah lulus 90 SKS atau sudah lulus semester 5
3. Mahasiswa tidak diperkenankan mengambil Program Kegiatan Magang (BKP) MBKM yang sama lebih dari 1 kali
4. Mahasiswa wajib melakukan konversi alih kredit ke SKS MK
5. Mahasiswa/Departemen wajib membuat/memiliki surat PKS
6. Pelaksanaan Magang sebelum minggu ke-3 perkuliahan di ITS
7. Mahasiswa tidak diperkenankan mengambil MK, atau hanya diperkenankan mengambil maks. 3 MK (setara 10 SKS)
8. Pelaksanaan Magang selama 3 – 6 bulan."
Apa saja persyaratan untuk mengikuti Program Magang Non-MBKM?,"1. Mahasiswa aktif ITS tingkat Sarjana dan Diploma
2. Minimal mahasiswa sudah lulus semester 3
3. Mahasiswa dapat melakukan konversi alih kredit ke SKEM
4. Tidak wajib membuat/memiliki surat PKS
5. Pelaksanaan Magang di luar jam perkuliahan aktif (selama masa libur perkuliahan atau mahasiswa dapat mengajukan izin cuti perkuliahan)
6. Pelaksanaan Magang selama 1 – 6 bulan."
Bagaimana skema pelaksanaan Program Magang Flagship?,"Mahasiswa membuat akun di https://kampusmerdeka.kemdikbud.go.id/
2. Mahasiswa memilih program dan mitra yang akan diikuti
3. Mahasiswa berkonsultasi ke Departemen serta mengajukan Surat Rekomendasi (SR)
4. Departemen cek relevansi kegiatan/program mitra serta rencana konversi SKS
5. Mahasiswa mengajukan SPTJM
6. PK2 melakukan pengecekan Track Record Magang Mahasiswa
7. SPTJM terbit
8. Mahasiswa mendaftar program MSIB di website Kampus Merdeka dengan upload dokumen kelengkapan
9. Mahasiswa melakukan cek hasil penerimaan"
Bagaimana statistik peserta MSIB 4 dan 5?,"MSIB Batch 4: Total Mahasiswa diterima: 664 mahasiswa; Program Magang: 228 mahasiswa; Program Studi Independen: 436 mahasiswa; Jumlah Mitra Industri: 108 Mitra
MSIB Batch 5: Total Mahasiswa diterima: 488 mahasiswa; Program Magang: 257 mahasiswa; Program Studi Independen: 231 mahasiswa; Jumlah Mitra Industri: 121 Mitra"
Bagaimana skema pelaksanaan Program Magang Kerjasama di ITS?,"1. Mitra mengajukan permintaan mahasiswa magang ke PK2
2. PK2 melakukan review dan persetujuan permohonan
3. Mitra mengirim surat permintaan magang sesuai kualifikasi yang ditujukan ke Kasubdit. PK2 ITS
4. PK2 mengirimkan draft PKS Magang Kerjasama kepada Mitra
5. PK2 dan Mitra berkoordinasi untuk pengurusan PKS
6. Mitra mengirim poster lowongan magang (jika ada)
7. PK2 membuat form pendaftaran magang
8. PK2 mempublikasikan ke sosmed dan menyebarkan informasi ke LO MBKM dan Kepala Departemen"
Bagaimana skema pelaksanaan Program Magang Mandiri di ITS?,"1. Mahasiswa mengurus surat rekomendasi departemen untuk pengajuan magang ke Mitra
2. Mahasiswa mengajukan permohonan magang ke Mitra
3. Mitra melakukan seleksi magang
4. Mahasiswa menerima hasil seleksi magang dari Mitra
5. Apabila tidak diterima, maka mahasiswa harus mengulang sejak langkah awal
6. Apabila diterima, Mahasiswa melaporkan ke Departemen
7. Mahasiswa/Departemen melakukan koordinasi dengan PK2 untuk pengurusan PKS dengan menyertakan Proposal Magang, Surat Rekomendasi Departemen dan Surat Penerimaan Magang
8. Proses pengurusan PKS (Dapat dilakukan bersamaan dengan pelaksanaan Magang)"
Bagaimana proses digitalisasi Surat Rekomendasi dan SPTJM?,"1. Mahasiswa mengisikan seluruh data dan pernyataan mahasiswa langsung di dalam platform MBKM
2. Proses verifikasi data mahasiswa dilakukan oleh Perguruan Tinggi pada level Penanggung Jawab Program Studi/Fakultas
3. Rekomendasi Perguruan Tinggi diberikan melalui platform oleh Pimpinan PT
4. Terdapat dua proses yang perlu dilakukan oleh Perguruan Tinggi:
    a. Pengunggahan Surat Tugas dari PT
    b. Submit email program studi atau pihak yang akan melakukan verifikasi mahasiswa"
Apa saja tugas dari Penanggung Jawab Fakultas atau Prodi?,"Penanggung Jawab Fakultas atau Prodi bertugas untuk:
1. Melakukan verifikasi kebenaran data dan dokumen mahasiswa yang akan mendaftar Program flagship MBKM
2. Memberikan rekomendasi kepada mahasiswa untuk mengikuti Program flagship MBKM
3. Melakukan koordinasi dengan mahasiswa apabila terdapat data atau dokumen yang perlu diperbaiki."
Bagaimana cara penanggung jawab fakultas/prodi menerima email notifikasi penugasan verifikasi data akademik mahasiswa?,Penanggung Jawab Fakultas/Prodi akan menerima email notifikasi penugasan verifikasi data akademik mahasiswa untuk prodi tersebut untuk program Kampus Merdeka. Klik 'Verifikasi Sekarang'. Contoh email notifikasi penugasan jika belum ada mahasiswa yang terdaftar Mohon cek folder Spam jika email tidak muncul di folder Kotak Masuk.
Bagaimana cara penanggung jawab fakultas/prodi melakukan verifikasi data mahasiswa?,"1. Penanggung Jawab Fakultas/Prodi selanjutnya bisa melakukan pengecekan kesesuaian data akademik pada mahasiswa yang bersangkutan
2. Jika data sudah sesuai, anda sebagai Penanggung Jawab Fakultas/Prodi mengizinkan mahasiswa untuk mengikuti program Kampus Merdeka maka Anda bisa klik 'Ya, Beri Izin'
3. Untuk data mahasiswa yang sudah pernah diverifikasi, Anda akan menemukan notifikasi seperti yang ada pada gambar di samping
4. Setelah itu klik 'Selanjutnya'"
Apa yang harus dilakukan setelah sidang proposal tesis disetujui?,"Setelah sidang proposal tesis disetujui, mahasiswa harus melakukan perbaikan sesuai dengan usul dari dosen penguji, yang dituangkan dalam berita acara seminar proposal. Perbaikan harus disetujui oleh semua dosen penguji sebelum proposal dijilid dan ditandatangani di lembar pengesahan."
Bagaimana verifikasi dan persetujuan data mahasiswa oleh penanggung jawab fakultas atau prodi?,"1. Penanggung Jawab Fakultas/Prodi selanjutnya bisa melakukan pengecekan kesesuaian data akademik pada Mahasiswa yang bersangkutan
2. Jika data sudah sesuai, dan Anda sebagai Penanggung Jawab Fakultas/Prodi mengizinkan mahasiswa untuk mengikuti program Kampus Merdeka maka Anda bisa klik 'Ya, Beri Izin'
3. Untuk data mahasiswa yang sudah pernah diverifikasi, Anda akan menemukan notifikasi seperti yang ada pada gambar di samping
4. Setelah itu klik 'Selanjutnya'."
Apa saja unsur utama dalam tesis?,"Unsur dalam tesis terdiri dari: Judul Penelitian, Lembar Pengesahan, Abstrak, Daftar isi, Daftar gambar (jika ada), Daftar tabel (jika ada), Daftar notasi/simbol (bila diperlukan), bagian tubuh (bab-bab) yang terdiri dari Pendahuluan, Kajian Pustaka dan Dasar Teori, Metoda Penelitian, Hasil Penelitian dan Pembahasan, Kesimpulan, Daftar pustaka, Lampiran (jika ada), dan Biografi penulis."
Apa fungsi dari abstrak dalam tesis?,"Abstrak adalah ringkasan singkat dan padat dari tesis yang membantu pembaca untuk memperoleh gambaran umum dari tulisan ilmiah tersebut. Abstrak terdiri dari latar belakang, permasalahan, metodologi, dan hasil yang diharapkan. Pada tesis, abstrak harus ditulis dalam Bahasa Indonesia dan Inggris."
Bagaimana aturan daftar pustaka dalam tesis?,"Daftar pustaka merupakan daftar referensi dari semua jenis referensi seperti buku, jurnal papers, artikel, disertasi, tesis, handouts, laboratory manuals, dan karya ilmiah lainnya yang dikutip di dalam penulisan proposal tesis. Semua referensi yang tertulis dalam daftar pustaka harus dirujuk di dalam tesis."
Bagaimana cara menyusun daftar pustaka dalam tesis?,"Daftar pustaka ditulis urut menurut abjad nama akhir penulis pertama dan tahun penerbitan. Referensi ditulis dengan nama belakang penulis, tahun publikasi, judul artikel, judul jurnal, nomor volume, nomor jurnal, dan nomor halaman dari artikel tersebut. Minimal 30% dari referensi harus berasal dari artikel jurnal ilmiah yang relevan."
Bagaimana format penulisan artikel/paper dari jurnal dalam daftar pustaka?,"Nama akhir/keluarga penulis pertama, nama kecil/depan, nama akhir/keluarga penulis kedua, nama kecil/depan, dan nama penulis selanjutnya. Nama kecil/depan bisa ditulis lengkap atau hanya inisialnya saja. Tahun penerbitan/publikasi ditulis dalam kurung. Judul artikel/paper dicetak huruf tegak dengan title case diantara tanda kutip. Judul jurnal dicetak miring/italic. Nomor volume dari jurnal. Nomor jurnal. Nomor halaman dari artikel tersebut di dalam jurnal."
Apa aturan penulisan buku dalam daftar pustaka?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul buku dicetak miring/italic dengan title case. Nomor volume dari buku (jika ada). Edisi penerbitan. Nama penerbit. Kota tempat diterbitkan.
Bagaimana aturan menulis artikel dalam buku prosiding pada daftar pustaka?,"Nama pengarang, tahun publikasi, dan judul artikel/paper sama dengan penulisan artikel dari jurnal. Judul buku dicetak miring/italic. Nomor volume dari buku (jika ada). Edisi penerbitan. Nama editor didahului dengan ed. atau eds. bila lebih dari satu editor. Nama penyelenggara seminar/conference. Kota tempat penyelenggaraan. Nomor halaman dari artikel/paper tersebut di dalam prosiding."
Bagaimana format penulisan referensi proyek mahasiswa?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul proyek dicetak miring/italic. Jenis proyek. Nama perguruan tinggi. Kota tempat penyelenggaraan.
Bagaimana referensi tesis dan disertasi ditulis dalam daftar pustaka?,"Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul tesis/disertasi dicetak miring/italic. Tesis/disertasi Ph.D/Master/Magister, tidak dicetak miring (dicetak huruf tegak). Nama perguruan tinggi. Kota tempat perguruan tinggi tersebut."
Bagaimana menulis standar teknis di daftar pustaka?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul standar teknis dicetak miring/italic. Nama penerbit. Kota tempat diterbitkan.
Bagaimana cara menulis dokumen pemerintah dalam daftar pustaka?,Nama pengarang dan tahun publikasi sama dengan penulisan artikel dari jurnal. Judul dokumen dicetak miring/italic. Volume atau nomor (jika ada). Nama penerbit. Kota tempat diterbitkan.
Bagaimana menulis bahan kuliah atau handouts di daftar pustaka?,"Nama pengarang, tahun publikasi sama dengan penulisan artikel dari jurnal. Judul topik handouts dicetak miring. Lecture handout/bahan kuliah dan nama mata kuliah dicetak huruf tegak. Nama perguruan tinggi. Kota tempat perguruan tinggi tersebut."
Bagaimana menulis petunjuk praktikum dalam daftar pustaka?,"Nama pengarang, tahun publikasi sama dengan penulisan artikel dari jurnal. Nama dari kegiatan laboratorium/praktikum dicetak miring. Laboratory manual/petunjuk praktikum dicetak huruf tegak. Nama perguruan tinggi. Kota tempat perguruan tinggi tersebut."
Bagaimana cara penanggung jawab fakultas/prodi menangani permintaan revisi data mahasiswa?,"Jika data mahasiswa yang ditemukan terdapat ketidaksesuaian data diri dan akademik, maka penanggung jawab dapat meminta mahasiswa untuk melakukan revisi data. Langkah-langkahnya adalah: Klik 'Ya, Beri Izin' pada pertanyaan pertama. Klik 'Tidak Sesuai' pada pertanyaan kedua, kolom komentar akan muncul: berikan deskripsi ketidaksesuaian data. Klik 'Kirim Permintaan Revisi'. Notifikasi permintaan revisi berhasil terkirim"
Bagaimana cara menolak verifikasi data mahasiswa oleh penanggung jawab fakultas/prodi?,"Jika penanggung jawab fakultas/prodi ingin menolak perizinan pendaftaran mahasiswa, langkah-langkah yang diikuti adalah: Klik 'Tolak' pada pertanyaan pertama. Poin penting dalam menolak persetujuan verifikasi data adalah: Keputusan penolakan bersifat final dan tidak dapat diubah kembali. Dengan menolak mahasiswa, maka seluruh lamaran mahasiswa ke program Kampus Merdeka akan langsung dinyatakan gagal."
Bagaimana proses verifikasi data mahasiswa di platform MBKM?,"1. Penanggung Jawab Fakultas/Prodi melakukan pengecekan kesesuaian data akademik pada mahasiswa
2. Jika data sudah sesuai, klik 'Ya, Beri Izin'
3. Untuk data yang sudah diverifikasi sebelumnya, klik 'Ya, Beri Izin'
4. Setelah itu klik 'Selanjutnya'"
