question,context
Bagaimana mekanisme pelaksanaan program pertukaran pelajar antar program studi pada perguruan tinggi yang sama?,"Mekanisme meliputi: 1. Program Studi: menyusun/mensesuaikan kurikulum yang memfasilitasi mahasiswa untuk mengambil mata kuliah di program studi lain, menentukan dan menawarkan mata kuliah yang dapat diambil mahasiswa dari luar prodi, mengatur kuota peserta, dan mengatur jumlah SKS yang dapat diambil dari prodi lain. 2. Mahasiswa: mendapatkan persetujuan Dosen Pembimbing Akademik (DPA), dan mengikuti program kegiatan luar prodi sesuai dengan ketentuan pedoman akademik yang ada."
Apa contoh kegiatan dalam program pertukaran pelajar antar program studi pada perguruan tinggi yang sama?,"Contoh kegiatan: Mahasiswa Desain Produk mengambil mata kuliah di program studi Akuntansi, Manajemen, dan Komunikasi untuk memperoleh kompetensi tambahan yang menunjang kompetensi lulusan Desain Produk."
Bagaimana mekanisme pelaksanaan program pertukaran pelajar dalam program studi yang sama di perguruan tinggi yang berbeda?,"Mekanisme meliputi: 1. Program Studi: menyusun/mensesuaikan kurikulum yang memfasilitasi mahasiswa untuk mengambil mata kuliah di program studi yang sama pada perguruan tinggi lain, membuat kesepakatan dengan perguruan tinggi mitra mengenai pembelajaran, pengakuan kredit semester, dan penilaian, mengatur kuota peserta, dan jumlah mata kuliah yang dapat diambil, serta melaporkan kegiatan ke Pangkalan Data Pendidikan Tinggi. 2. Mahasiswa: mendapatkan persetujuan Dosen Pembimbing Akademik (DPA), dan mengikuti program kegiatan pembelajaran di program studi yang sama di perguruan tinggi lain sesuai ketentuan pedoman akademik."
Apa contoh kegiatan dalam program pertukaran pelajar dalam program studi yang sama di perguruan tinggi yang berbeda?,"Contoh kegiatan: Mahasiswa Prodi Kehutanan di PT A dapat mengambil mata kuliah yang ditawarkan oleh PT B atau sebaliknya, karena kedua PT memiliki CPL yang sama, yaitu mampu merancang dan mengelola suatu ekosistem hutan."
Bagaimana mekanisme pelaksanaan program pertukaran pelajar antar program studi pada perguruan tinggi yang berbeda?,"Mekanisme meliputi: 1. Program Studi: menyusun kurikulum yang memfasilitasi mahasiswa untuk mengambil mata kuliah di program studi lain di perguruan tinggi yang berbeda, menentukan dan menawarkan mata kuliah yang dapat diambil mahasiswa dari luar prodi, mengatur kuota peserta, jumlah SKS dan mata kuliah yang dapat diambil dari prodi lain, membuat kesepakatan dengan perguruan tinggi mitra, serta melaporkan kegiatan pada Pangkalan Data Pendidikan Tinggi. 2. Mahasiswa: mendapatkan persetujuan Dosen Pembimbing Akademik (DPA), mengikuti program kegiatan pembelajaran dalam program studi lain di perguruan tinggi yang berbeda sesuai dengan ketentuan pedoman akademik."
Apa contoh kegiatan dalam program pertukaran pelajar antar program studi pada perguruan tinggi yang berbeda?,Contoh kegiatan: Mahasiswa Teknik Industri dari PT A mengambil mata kuliah Energi dan Mesin Pertanian pada Prodi Teknologi Pertanian PT B dan mata kuliah Pemodelan Ekonomi Sumber Daya dan Lingkungan pada Prodi Ilmu Ekonomi PT C untuk melengkapi kompetensi tambahan.
Apa saja tugas perguruan tinggi pengirim dalam program pertukaran pelajar?,Tugas perguruan tinggi pengirim meliputi: 1. Menjalin kerja sama dengan perguruan tinggi dalam negeri dan luar negeri. 2. Mengalokasikan kuota untuk mahasiswa inbound dan outbound. 3. Menyelenggarakan seleksi pertukaran pelajar (jika diperlukan). 4. Melakukan pemantauan penyelenggaraan pertukaran mahasiswa. 5. Mengevaluasi hasil pertukaran mahasiswa dan melakukan rekognisi SKS. 6. Melaporkan kegiatan ke Direktorat Jenderal Pendidikan Tinggi melalui Pangkalan Data Pendidikan Tinggi.
Apa saja tugas perguruan tinggi tujuan dalam program pertukaran pelajar?,Tugas perguruan tinggi tujuan meliputi: 1. Menjalin kerja sama dengan perguruan tinggi dalam dan luar negeri. 2. Menjamin terselenggaranya program pembelajaran mahasiswa dan aktivitas luar kampus sesuai dengan kontrak perjanjian. 3. Mengalokasikan kuota untuk mahasiswa inbound dan outbound. 4. Menyelenggarakan seleksi pertukaran pelajar (jika diperlukan). 5. Melakukan pengawasan secara berkala terhadap proses pertukaran mahasiswa. 6. Mengelola dan menjamin mutu penyelenggaraan pertukaran mahasiswa. 7. Memberikan nilai dan hasil evaluasi akhir mahasiswa untuk direkognisi di perguruan tinggi asal. 8. Melaporkan kegiatan ke Direktorat Jenderal Pendidikan Tinggi melalui Pangkalan Data Pendidikan Tinggi.
Apa tujuan dari program magang dalam MBKM?,"Tujuan dari program magang adalah memberikan pengalaman kerja yang cukup kepada mahasiswa melalui pembelajaran langsung di tempat kerja (experiential learning), sehingga mahasiswa mendapatkan hard skills dan soft skills yang relevan dengan kebutuhan industri, serta mengurangi biaya recruitment dan training awal/induksi bagi industri."
Bagaimana mekanisme pelaksanaan magang dalam MBKM?,"Mekanisme pelaksanaan magang meliputi: 1. Perguruan Tinggi: membuat dokumen kerja sama (MoU/SPK) dengan mitra, menyusun program magang bersama mitra, menugaskan dosen pembimbing, melakukan monitoring, menyusun logbook, dan melakukan penilaian capaian mahasiswa. 2. Mitra Magang: bersama perguruan tinggi menyusun dan menyepakati program magang, menyediakan supervisor/mentor, memberikan hak dan jaminan sesuai peraturan, mendampingi dan menilai kinerja mahasiswa. 3. Mahasiswa: mendaftar/melamar dan mengikuti seleksi magang, mendapatkan persetujuan dari dosen pembimbing akademik (DPA), melaksanakan kegiatan magang, mengisi logbook, menyusun dan menyampaikan laporan kegiatan. 4. Dosen Pembimbing & Supervisor: memberikan pembekalan, arahan, dan tugas-tugas bagi mahasiswa, dan melakukan evaluasi dan penilaian atas hasil magang."
Apa saja tanggung jawab mitra magang dalam MBKM?,"Tanggung jawab mitra magang meliputi: 1. Bersama perguruan tinggi menyusun dan menyepakati program magang. 2. Menjamin proses magang yang berkualitas sesuai dokumen kerja sama (MoU/SPK). 3. Menyediakan supervisor/mentor untuk mendampingi mahasiswa. 4. Memberikan hak dan jaminan sesuai peraturan perundangan (asuransi kesehatan, keselamatan kerja, honor magang, hak karyawan magang). 5. Membantu mahasiswa dalam mendokumentasikan kinerja melalui penilaian."
Apa itu Asistensi Mengajar di Satuan Pendidikan dalam MBKM?,"Asistensi Mengajar di Satuan Pendidikan adalah kegiatan pembelajaran di mana mahasiswa mengajar di satuan pendidikan seperti sekolah dasar, menengah, maupun atas atau di lokasi kota maupun daerah terpencil, guna membantu meningkatkan pemerataan kualitas pendidikan dan relevansi pendidikan dengan pendidikan tinggi dan perkembangan zaman."
Apa tujuan dari asistensi mengajar di satuan pendidikan dalam MBKM?,Tujuan dari asistensi mengajar di satuan pendidikan meliputi: 1. Memberikan kesempatan bagi mahasiswa yang memiliki minat di bidang pendidikan untuk turut serta mengajarkan dan memperdalam ilmunya dengan mengajar di satuan pendidikan. 2. Membantu meningkatkan pemerataan kualitas pendidikan di berbagai daerah.
Bagaimana mekanisme pelaksanaan asistensi mengajar di satuan pendidikan dalam MBKM?,"Mekanisme pelaksanaan asistensi mengajar meliputi: 1. Perguruan Tinggi: menyusun dokumen kerja sama (MoU/SPK) dengan mitra satuan pendidikan, memberikan kesempatan kepada mahasiswa untuk mengajar, menugaskan dosen pembimbing, melakukan monitoring dan evaluasi, serta menyetarakan jam kegiatan mengajar dengan SKS. 2. Satuan Pendidikan: menjamin kegiatan mengajar mahasiswa sesuai kesepakatan, menunjuk guru pamong/pendamping, bersama dosen pembimbing melakukan evaluasi, dan memberikan nilai untuk direkognisi sebagai SKS mahasiswa. 3. Mahasiswa: mendaftarkan diri dengan persetujuan Dosen Pembimbing Akademik (DPA), melaksanakan kegiatan asistensi mengajar, mengisi logbook, menyusun dan menyampaikan laporan."
Apa itu penelitian/riset dalam MBKM?,"Penelitian/riset merupakan kegiatan dalam MBKM yang memberikan kesempatan bagi mahasiswa untuk mengikuti program penelitian di lembaga riset atau pusat studi, dalam upaya membangun kemampuan berpikir kritis dan kemampuan riset yang lebih baik."
Apa tujuan dari penelitian/riset dalam MBKM?,Tujuan dari penelitian/riset meliputi: 1. Meningkatkan mutu penelitian mahasiswa. 2. Memperkuat pool talent peneliti secara topikal. 3. Mahasiswa mendapatkan kompetensi penelitian melalui pembimbingan langsung oleh peneliti di lembaga riset/pusat studi. 4. Meningkatkan ekosistem dan kualitas riset di laboratorium dan lembaga riset Indonesia.
Bagaimana mekanisme pelaksanaan penelitian/riset dalam MBKM?,"Mekanisme pelaksanaan penelitian/riset meliputi: 1. Perguruan Tinggi: membuat kesepakatan dalam bentuk dokumen kerja sama (MoU/SPK) dengan mitra lembaga riset/laboratorium riset, memberikan hak kepada mahasiswa untuk mengikuti seleksi program riset, menunjuk dosen pembimbing, menyusun form logbook, melakukan evaluasi akhir dan penyetaraan kegiatan riset menjadi mata kuliah (SKS). 2. Lembaga Mitra: menjamin terselenggaranya kegiatan riset mahasiswa sesuai kesepakatan, menunjuk pendamping untuk mahasiswa, bersama dosen pendamping melakukan evaluasi dan penilaian terhadap proyek riset. 3. Mahasiswa: mendaftarkan diri dengan persetujuan Dosen Pembimbing Akademik (DPA), melaksanakan kegiatan riset sesuai arahan lembaga riset/pusat studi, mengisi logbook, menyusun dan menyampaikan laporan penelitian."
