Question,Expected Answer
Apa fungsi laporan magang?,"sebagai Pertanggungjawaban kegiatan Magang mahasiswa kepada Mitra Magang dan
Departemen."
Apa saja ketentuan umum dalam penulisan lapora magang?,"benar dan obyektif, jelas dan cermat, langsung ke sasaran, lengkap, tegas dan konsisten"
Apa jenis dan ukuran kertas pada format penulisan laporan magang?,Kertas HVS 70gram ukuran A5 (148 × 210 mm).
Berapa jarak tepi margin dalam penulisan laporan magang?,"- Tepi Atas : 2,5 cm
- Тері Bawah : 2,5 cm
- Tepi Kiri : 2,5 cm
- Tepi Kanan : 2,0 cm"
apa ketentuan umum mengenai penilaian akhir magang?,"1. Dosen pembimbing magang dan dosen pembimbing dari unit tempat magang memberikan penilaian terhadap Laporan Magang dan ujian presentasi magang
jika diperlukan.
2. Unit tempat magang memberikan penilaian terhadap prestasi magang.
3. Penilaian penulisan laporan magang mengacu kepada ketentuan.
4. Hasil penilaian dilakukan dengan cara mengisi formulir yang ada dan diserahkan
pada departemen"
Apa saja etika pelaksanaan magang di perusahaan mitra magang?,"• Mahasiswa harus mematuhi aturan Mitra Magang dengan baik.
• Mahasiswa harus bekerja dan berusaha memberikan yang terbaik untuk kepentingan Mitra Magang.
• Mahasiswa harus dapat menyelesaikan segala tugas yang diberikan
Mitra Magang dengan benar, rapi dan tepat waktu.
• Mahasiswa harus menghormati pegawai Mitra Magang tanpa membedakan suku, agama, ras, gender dan golongan.
• Mahasiswa bersikap jujur, disiplin, santun, profesional, dan menjaga etos kerja di unit kerja Mitra Magang.
• Mahasiswa harus menjaga kerahasiaan informasi unit kerja Mitra Magang. Seluruh informasi dan data yang akan dijadikan sumber dalam penulisan laporan magang harus disamarkan dalam penulisan untuk menjaga kerahasidan data dan informasi Mitra Magang.
• Mahasiswa harus menjaga nama baik almamater ITS."
Apa syarat yang harus dipenuhi mahasiswa untik mengikuti kegiatan magang?,"1. Mahasiswa peserta magang adalah mahasiswa aktif ITS 2. Mahasiswa sudah menempuh minimal 90 SKS, untuk departemen yang tidak mempunyai MK magang dalam kurikulumnya."
apa peran Dosen pembimbing magang?,Dosen pembimbing magang memegang peranan kunci dalam koordinasi pelaksanaan magang dengan mahasiswa peserta magang dan unit tempat magang serta wajib memantau secara kontinu pelaksanaan magang dari mahasiswa yang dibimbingnya.
Bagaimana proses seleksi program mahasiswa magang bersertifikat?,Seleksi program magang bersertifikat dilakukan oleh FHCl atau BUMN Proses tahapan seleksi dilaksanakan sesuai dengan kebijakan BUMN Hasil proses seleksi akan disampaikan ke Sub Direktorat PK2 untuk diumumkan ke mahasiswa calon peserta magang.
apa saja berkas yang perlu diunggah melalui SIM magang?,• CV • Transkrip Nilai • Surat Rekomendasi Departemen • Mengisi Form Pakta Integritas
